comment_text,整潔舒適,設施,服務,地點,性價比,其他,整潔舒適情緒,設施情緒,服務情緒,地點情緒,性價比情緒,其他情緒,整體情緒
第一天房間不錯，寬敞並有窗戶，雖然還是聞得到煙味。第二、三天另一張訂單續住，卻被安排住在唯一一間無窗房。第二天希望提前一小時左右入住也被拒絕，覺得服務態度有可以加強之處。,1,1,1,0,0,0,3,1,3,0,0,0,3
空氣品質不佳，可能可以裝個空氣清潔機。,1,1,0,0,0,0,3,2,0,0,0,0,3
舒適度沒有說太好，床也會吱吱叫的,1,1,0,0,0,0,3,3,0,0,0,0,3
整潔根本沒做好，地毯都發霉了，而且都有味道，真的讓人很不舒服,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有蚊子不ok,1,1,0,0,0,0,3,3,0,0,0,0,3
房內有蚊子在飛,1,1,0,0,0,0,3,3,0,0,0,0,3
車庫蚊子也不少早上一下子沒關車庫門，感覺蚊子都飛進來了，好險晚上沒有蚊子吵我們睡覺,1,1,0,0,0,0,3,3,0,0,0,0,3
建議放個香茅油，走廊蚊子滿多的要跟牠們比速度進房間呢 ,1,1,0,0,0,0,3,3,0,0,0,0,3
飯店一樓也很多蚊子,1,1,0,0,0,0,3,3,0,0,0,0,3
有蚊子，門口只放補蚊燈一點作用都沒有,1,1,0,0,0,0,3,3,0,0,0,0,3
才剛進房就聞到菸味，久久不散,1,1,0,0,0,0,3,3,0,0,0,0,3
外表應該是拉皮過的，看來新穎但房間、電梯都看的出來應該有10、20年的飯店....出電梯煙味超重...,1,1,0,0,0,0,3,3,0,0,0,0,3
房內空氣循環不好，有悶味,1,1,0,0,0,0,3,3,0,0,0,0,3
地下停車場的通風需要大大改進，整個空間味道令人…,1,1,0,0,0,0,3,3,0,0,0,0,3
應該是老飯店翻新，老舊的味道在一些地方還是散發出來+3.,1,1,0,0,0,0,3,3,0,0,0,0,3
改善走廊通風，間中有異味。,1,1,0,0,0,0,3,3,0,0,0,0,3
毛巾也感覺用了很多年沒換新非常舊。,1,1,0,0,0,0,3,3,0,0,0,0,3
廁所可以多設置一個擺衣服的置物籃，床鋪是兩張單人床組在一起的，睡到中間有點不舒服。,1,1,0,0,0,0,3,3,0,0,0,0,3
床偏硬，枕頭太大太高有點硬，睡起來不舒服，廁所掛浴簾的杆不是固定的，會掉下來,1,1,0,0,0,0,3,3,0,0,0,0,3
我兩個人想睡的是張大床，確給我了兩張小床，睡的我腰酸背痛的，不舒服,1,1,0,0,0,0,3,3,0,0,0,0,3
洗手槽是獨立在外的，水槽不深，會把水濺出來，且靠近洗手台有一股酸酸的霉味,1,1,0,0,0,0,3,3,0,0,0,0,3
電梯及整個樓層煙味很重,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有潮濕、空氣不佳的味道，須持續開啟浴室抽風，希望可以加強空氣循環對流適合看電視的位子在樓梯轉角處，建議可以有靠枕之類的物件，讓看電視的時候可以舒適一點,1,1,0,0,0,0,3,3,0,0,0,0,3
如果能改善空調的味道 住起來會更舒適 ,1,1,0,0,0,0,3,3,0,0,0,0,3
隔音超級差，隔壁關房門好像有仇一樣，超大聲室內有煙味、無法使用信用卡,1,1,0,0,0,0,3,3,0,0,0,0,3
隔音極差、電子門鎖很吵、空調有煙味，像ktv的那種味道、半夜三點被隔壁打炮聲叫醒就算便宜也不會在住的地方,1,1,0,0,0,0,3,3,0,0,0,0,3
潤髮乳比較不好用。衣櫃有個剛裝潢完的味道，聞起來不太舒服,1,1,0,0,0,0,3,3,0,0,0,0,3
空調有菸味，對於沒抽煙的房客，很不舒服,1,1,0,0,0,0,3,3,0,0,0,0,3
隔音不太好，廁所有一些蟲，覺得濕濕的。,1,1,0,0,0,0,3,3,0,0,0,0,3
棉被像沒洗過的味道,1,1,0,0,0,0,3,3,0,0,0,0,3
一開始進去濕氣非常的重，味道很不舒服，雖然有除濕機結果沒有開除濕，後來跑一陣子有好一點。,1,1,0,0,0,0,3,3,0,0,0,0,3
一進到房間內，房間充滿濕氣的味道，看了除濕機裡面，水是滿的。,1,1,0,0,0,0,3,3,0,0,0,0,3
濕氣霉味太重，整個房間空氣很差,1,1,0,0,0,0,3,3,0,0,0,0,3
熱水壺沒清洗很噁心,1,1,0,0,0,0,3,3,0,0,0,0,3
地板沒清乾淨黑黑的，不是很好,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室還有前房客留下的頭髮，好噁心。,1,1,0,0,0,0,3,3,0,0,0,0,3
房間也不乾淨，還有蟑螂,1,1,0,0,0,0,3,3,0,0,0,0,3
毛巾上有皮屑，馬桶上有尿漬，噁爆,1,1,0,0,0,0,3,3,0,0,0,0,3
此外房間的熱水壺也沒清，很誇張,1,1,0,0,0,0,3,3,0,0,0,0,3
樓梯間很髒,1,1,0,0,0,0,3,3,0,0,0,0,3
大廳的乾淨度有待加強,1,1,0,0,0,0,3,3,0,0,0,0,3
窗簾有發霉,1,1,0,0,0,0,3,3,0,0,0,0,3
毛巾有黃漬,1,1,0,0,0,0,3,3,0,0,0,0,3
洗衣機髒髒的,1,1,0,0,0,0,3,3,0,0,0,0,3
走廊很髒,1,1,0,0,0,0,3,3,0,0,0,0,3
牆壁有壁癌,1,1,0,0,0,0,3,3,0,0,0,0,3
水杯沒洗乾淨,1,1,0,0,0,0,3,3,0,0,0,0,3
洗衣機也不乾淨。,1,1,0,0,0,0,3,3,0,0,0,0,3
房間內的浴室也沒打掃乾淨，都能看見水垢,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有很多小蟲，讓人想退房,1,1,0,0,0,0,3,3,0,0,0,0,3
公共拖鞋很髒,1,1,0,0,0,0,3,3,0,0,0,0,3
房間不乾淨,1,1,0,0,0,0,3,3,0,0,0,0,3
電視機上面有一層灰,1,1,0,0,0,0,3,3,0,0,0,0,3
房間枕頭不乾淨,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有留下前房客的東西，房間味道不好聞,1,1,0,0,0,0,3,3,0,0,0,0,3
房間內有遺留的內褲，太噁心了!有股悶味,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室有尿漬,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室排水孔有頭髮，沒清潔好,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有留下前房客的東西，傻眼!!!!!,1,1,0,0,0,0,3,3,0,0,0,0,3
房間內有遺留的內褲，傻爆眼,1,1,0,0,0,0,3,3,0,0,0,0,3
有壁癌 觀感不是太好,1,1,0,0,0,0,3,3,0,0,0,0,3
房間味道不好聞,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有霉味,1,1,0,0,0,0,3,3,0,0,0,0,3
大廳一走進去就有怪味,1,1,0,0,0,0,3,3,0,0,0,0,3
廁所有水溝味,1,1,0,0,0,0,3,3,0,0,0,0,3
空調傳出來的味道也不好聞,1,1,0,0,0,0,3,3,0,0,0,0,3
床有怪味,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有奇怪的味道,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有酸味 不太舒服,1,1,0,0,0,0,3,3,0,0,0,0,3
空調傳出怪味,1,1,0,0,0,0,3,3,0,0,0,0,3
大廳味道不好聞,1,1,0,0,0,0,3,3,0,0,0,0,3
房間味道也不好聞,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有酸酸的味道,1,1,0,0,0,0,3,3,0,0,0,0,3
廁所一直傳出怪味,1,1,0,0,0,0,3,3,0,0,0,0,3
大廳氣味不好聞,1,1,0,0,0,0,3,3,0,0,0,0,3
聞到這個味道差點暈過去，房間芳香劑太濃了吧,1,1,0,0,0,0,3,3,0,0,0,0,3
房間氣味也很奇怪,1,1,0,0,0,0,3,3,0,0,0,0,3
地毯上有些許打掃不確實的垃圾碎屑,1,1,0,0,0,0,3,3,0,0,0,0,3
房間裡煙味太重,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有些灰塵...,1,1,0,0,0,0,3,3,0,0,0,0,3
空調菸味太重,1,1,0,0,0,0,3,3,0,0,0,0,3
公共休息區的沙發座椅...需要再改善清潔度哦~,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室打掃不乾淨,1,1,0,0,0,0,3,3,0,0,0,0,3
熱水壺的蓋子上面有毛屑噁心,1,1,0,0,0,0,3,3,0,0,0,0,3
地毯有點髒，覺得清潔需要加強沒有窗戶比較可惜,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有個味道，另外棉被被套好像是套進去而已，棉被很容易就跑出來，睡到最後棉被跟被套會分離,1,1,0,0,0,0,3,3,0,0,0,0,3
電熱水瓶沒有清潔,1,1,0,0,0,0,3,3,0,0,0,0,3
房間會有煙味,1,1,0,0,0,0,3,3,0,0,0,0,3
被單有看到一個污點。,1,1,0,0,0,0,3,3,0,0,0,0,3
走廊太香!,1,1,0,0,0,0,3,3,0,0,0,0,3
牆壁有壁癌omg,1,1,0,0,0,0,3,3,0,0,0,0,3
環境整潔還是一樣需要改進，且半夜房間會有菸味令人不悅。,1,1,0,0,0,0,3,3,0,0,0,0,3
霉味很重實際跟照片不符 浴缸還是破洞用膠帶貼過的還一直出現蟑螂房內沒有吹風機沒有第四台沒有瓶裝水（外面有飲水機，但很髒不敢用）,1,1,0,0,0,0,3,3,0,0,0,0,3
廁所很髒,1,1,0,0,0,0,3,3,0,0,0,0,3
走廊有異味,1,1,0,0,0,0,3,3,0,0,0,0,3
浴缸沒有刷乾淨，看起來灰灰的,1,1,0,0,0,0,3,3,0,0,0,0,3
棉被有黃漬,1,1,0,0,0,0,3,3,0,0,0,0,3
電視機上面有厚厚的灰塵,1,1,0,0,0,0,3,3,0,0,0,0,3
椅子上有其他客人的頭髮,1,1,0,0,0,0,3,3,0,0,0,0,3
床黏黏的,1,1,0,0,0,0,3,3,0,0,0,0,3
熱水壺內部沒有清洗乾淨,1,1,0,0,0,0,3,3,0,0,0,0,3
馬桶蓋有尿漬,1,1,0,0,0,0,3,3,0,0,0,0,3
浴巾有怪味,1,1,0,0,0,0,3,3,0,0,0,0,3
廁所打開有股怪味,1,1,0,0,0,0,3,3,0,0,0,0,3
洗衣機臭味很重,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室芳香劑太香讓人不舒服,1,1,0,0,0,0,3,3,0,0,0,0,3
房間都是潮濕的味道,1,1,0,0,0,0,3,3,0,0,0,0,3
大廳有股怪味,1,1,0,0,0,0,3,3,0,0,0,0,3
牙刷有奇怪的味道,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有點霉味,1,1,0,0,0,0,3,3,0,0,0,0,3
不知是否因為是和室，房間有異味，需要持續開清淨機,1,1,0,0,0,0,3,3,0,0,0,0,3
美中不足的是，窗簾背面及窗溝有長年累積下來的發霉，蠻觸目驚心的,1,1,0,0,0,0,3,3,0,0,0,0,3
房間較為潮濕，有霉味,1,1,0,0,0,0,3,3,0,0,0,0,3
房內異味,1,1,0,0,0,0,3,3,0,0,0,0,3
拖鞋的觸感有點黏不乾淨不太舒服,1,1,0,0,0,0,3,3,0,0,0,0,3
冷氣出風口沒清潔到,1,1,0,0,0,0,3,3,0,0,0,0,3
發現乾淨的浴巾有髒污,1,1,0,0,0,0,3,3,0,0,0,0,3
浴簾發霉長滿黑斑,1,1,0,0,0,0,3,3,0,0,0,0,3
行政房型浴室管道的異味太重，建議想辦法處理。,1,1,0,0,0,0,3,3,0,0,0,0,3
地板及浴室(尤其是馬桶)清潔需要加強，最怕浴室整潔不佳,1,1,0,0,0,0,3,3,0,0,0,0,3
一進門房間霉味有點重，需過一陣子才聞不到霉味，但最可怕的是放水壺的抽屜，一打開那霉味是剛進房間的N倍，即使知道水壺是乾淨的也不敢恭維使用。,1,1,0,0,0,0,3,3,0,0,0,0,3
房間感覺像剛裝潢好有淡淡的刺鼻味,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有點味。,1,1,0,0,0,0,3,3,0,0,0,0,3
被單上有毛髮要再加強清潔一下,1,1,0,0,0,0,3,3,0,0,0,0,3
地板沒有很乾淨,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有點霉味，偏潮濕,1,1,0,0,0,0,3,3,0,0,0,0,3
房間整潔度很糟，第一次住到馬桶都是尿漬的房間，窗台、桌子都有屑屑和灰塵，放杯子的櫃子還有黃黃的黏液。在這疫情的時候，這樣的房間真的有徹底清潔消毒嗎？非不得已不會再住,1,1,0,0,0,0,3,3,0,0,0,0,3
窗簾發霉痕跡，床上毛屑灰塵,1,1,0,0,0,0,3,3,0,0,0,0,3
房間味道不舒服,1,1,0,0,0,0,3,3,0,0,0,0,3
大廳略顯雜亂,1,1,0,0,0,0,3,3,0,0,0,0,3
飲水機上有灰塵，蜘蛛網,1,1,0,0,0,0,3,3,0,0,0,0,3
廁所有一點異味,1,1,0,0,0,0,3,3,0,0,0,0,3
廁所異味重，霉味重，沙發下垃圾未清理,1,1,0,0,0,0,3,3,0,0,0,0,3
房間霉味及煙味粉重,1,1,0,0,0,0,3,3,0,0,0,0,3
床底下髒亂,1,1,0,0,0,0,3,3,0,0,0,0,3
進去房間有一股比較重的消毒水的味道,1,1,0,0,0,0,3,3,0,0,0,0,3
房間清潔很差 灰塵很厚很久沒清了,1,1,0,0,0,0,3,3,0,0,0,0,3
冰箱打開有霉味。,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室洗手檯放備品的亞克力箱下面，好髒……像很久沒擦拭請清潔人員莫略過,1,1,0,0,0,0,3,3,0,0,0,0,3
毛巾感覺用了非常久，已經泛黃，部分衛浴設備還有頭髮沒清乾淨,1,1,0,0,0,0,3,3,0,0,0,0,3
床巾、枕頭巾都有污漬  建議定期更換新品。地板清潔需要再加強！,1,1,0,0,0,0,3,3,0,0,0,0,3
毛巾有味道…（請好好的處理）主管自己親自聞看看…,1,1,0,0,0,0,3,3,0,0,0,0,3
房間地板髒,1,1,0,0,0,0,3,3,0,0,0,0,3
床的部分不是很乾淨?隔天全身過敏癢到不行枕頭的部分還有一種頭的油臭味 ,1,1,0,0,0,0,3,3,0,0,0,0,3
房間霉味重,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有煙味浴室地板有點滑,1,1,0,0,0,0,3,3,0,0,0,0,3
走廊地板很髒,1,1,0,0,0,0,3,3,0,0,0,0,3
床單潮濕,1,1,0,0,0,0,3,3,0,0,0,0,3
進房門有點潮濕的地毯味,1,1,0,0,0,0,3,3,0,0,0,0,3
床單上有微汙漬,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有霉味。（或是潮溼味道）,1,1,0,0,0,0,3,3,0,0,0,0,3
1.洗臉盆與檯面交界處有一整圈的黑霉2.淋浴間門口壁紙掀起且發霉3.地毯和牆壁看起來有多處髒污，且多處壁紙掀起4.冷氣出風口處也有髒污因入住當晚較晚進房，所以隔天退房時向櫃檯人員反映。沒想到飯店最重要也最基本的清潔會是這樣，十分失望。因覺得連清潔都不好，怎麼會有高評價，再進booking看，才發現有好幾則低評價都是反映清潔不佳及發霉問題。飯店回應會改進，但是看來是沒有做到。,1,1,0,0,0,0,3,3,0,0,0,0,3
廁所有發霉,1,1,0,0,0,0,3,3,0,0,0,0,3
潮濕、床單不乾淨,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有很重的霉味，浴室的溝槽很多黑霉,1,1,0,0,0,0,3,3,0,0,0,0,3
窗簾發霉,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有看到蟑螂，在兒童閱讀室也有看到蟑螂,1,1,0,0,0,0,3,3,0,0,0,0,3
地毯有點髒,1,1,0,0,0,0,3,3,0,0,0,0,3
房間昏暗偏潮濕，地毯地板感覺不是很乾淨,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有點味道,1,1,0,0,0,0,3,3,0,0,0,0,3
澡堂可以再多清掃,1,1,0,0,0,0,3,3,0,0,0,0,3
這次入住的房間有很重的潮濕的味道，讓人一進入就不舒服！,1,1,0,0,0,0,3,3,0,0,0,0,3
被子裡面有一半的瓜子殼.....清潔有點待加強,1,1,0,0,0,0,3,3,0,0,0,0,3
公共設施有一些地方有點髒汙Ex蓮蓬頭的管子有污漬,1,1,0,0,0,0,3,3,0,0,0,0,3
半夜使用淋浴間發現大淹水(排水孔一堆毛髮堵塞住) 默默的捏起那一堆頭髮...知道這時間點可能櫃台人員沒有注意巡視,1,1,0,0,0,0,3,3,0,0,0,0,3
房間菸味超重，帶著小孩想選這間住宿的千萬要三思!!,1,1,0,0,0,0,3,3,0,0,0,0,3
煙味有點重，床邊有發現小蟑螂,1,1,0,0,0,0,3,3,0,0,0,0,3
非常髒！浴巾的周邊都虛掉了還不換新的浴巾，上面還有黃色的汙漬2條都有，不是只有一條。,1,1,0,0,0,0,3,3,0,0,0,0,3
美中不足的是本次安排給我們的房間窗戶看出去是防火巷，而且露臺上都是樓上或之前入住的房客丟的垃圾及菸蒂....,1,1,0,0,0,0,3,3,0,0,0,0,3
房內煙味很重,1,1,0,0,0,0,3,3,0,0,0,0,3
床鋪整理乾淨度需注意，髒,1,1,0,0,0,0,3,3,0,0,0,0,3
雖然是禁菸樓層，但是菸味實在是太重了,1,1,0,0,0,0,3,3,0,0,0,0,3
即使是禁菸樓層還是多少有點煙味，這是我最在乎的，可惜了,1,1,0,0,0,0,3,3,0,0,0,0,3
棉被有些小部分有點髒髒的,1,1,0,0,0,0,3,3,0,0,0,0,3
冰箱還有上一位客人喝過的礦泉水。,1,1,0,0,0,0,3,3,0,0,0,0,3
如果廁所跟淋浴間能定時清理會更好，不然都有頭髮出現,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有潮溼的霉味,1,1,0,0,0,0,3,3,0,0,0,0,3
房間煙味令人難以入眠，舒適度不佳,1,1,0,0,0,0,3,3,0,0,0,0,3
走廊有些許陰暗地毯一點點髒,1,1,0,0,0,0,3,3,0,0,0,0,3
馬桶有尿漬,1,1,0,0,0,0,3,3,0,0,0,0,3
地毯有味道,1,1,0,0,0,0,3,3,0,0,0,0,3
房間內霉味有點重，乾淨程度一般,1,1,0,0,0,0,3,3,0,0,0,0,3
地毯有點太髒,1,1,0,0,0,0,3,3,0,0,0,0,3
整潔度可以再做的更好，浴室的污垢有點多桌上也有灰塵。,1,1,0,0,0,0,3,3,0,0,0,0,3
空調偶有煙味,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有點包廂味,1,1,0,0,0,0,3,3,0,0,0,0,3
房間的濕氣味道有點重。,1,1,0,0,0,0,3,3,0,0,0,0,3
有些地方清潔不足毯子有深褐色污漬，乍看之下 嚇到吃手手,1,1,0,0,0,0,3,3,0,0,0,0,3
雖然是禁菸房間，但是一直有煙味。,1,1,0,0,0,0,3,3,0,0,0,0,3
地毯稍髒,1,1,0,0,0,0,3,3,0,0,0,0,3
地毯的清潔真的有需要加強一下,1,1,0,0,0,0,3,3,0,0,0,0,3
電梯有一股奇怪的味道,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室馬桶旁有菸灰，但因為入住時間較晚，所以房務人員已下班，得到回應要如需幫忙清潔要半小時後。房間再次踏入好像有個霉味，可是一開始入房間沒有聞到，所以就沒有詢問櫃臺。,1,1,0,0,0,0,3,3,0,0,0,0,3
空調有一股不知如何說明的不良味道,1,1,0,0,0,0,3,3,0,0,0,0,3
房間霉味重，隔天出來衣物都是那個味道了,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有一股味道（不知道是潮濕或霉）,1,1,0,0,0,0,3,3,0,0,0,0,3
飯店房間有種味道  不是很喜歡,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有潮濕的味道，還有地毯蠻髒的有些不敢光腳踩,1,1,0,0,0,0,3,3,0,0,0,0,3
床頭灰塵沒清,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室膠條有發黑發黴的情況,1,1,0,0,0,0,3,3,0,0,0,0,3
房間菸味很重。,1,1,0,0,0,0,3,3,0,0,0,0,3
馬桶附近有異味,1,1,0,0,0,0,3,3,0,0,0,0,3
住過好幾次，有些房間燈具上有厚灰塵,1,1,0,0,0,0,3,3,0,0,0,0,3
房間內地板有看到幾的破掉的氣球碎片，地板清潔有待加強。,1,1,0,0,0,0,3,3,0,0,0,0,3
房間外走廊的味道，可能不通風，所以有個味道,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有一點霉味,1,1,0,0,0,0,3,3,0,0,0,0,3
唯一缺點就是走廊有點煙味,1,1,0,0,0,0,3,3,0,0,0,0,3
房間床上有沙子,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有濃重煙味。,1,1,0,0,0,0,3,3,0,0,0,0,3
床單下隱約看得到許多毛髮,1,1,0,0,0,0,3,3,0,0,0,0,3
有煙味 棉被不夠,1,1,0,0,0,0,3,3,0,0,0,0,3
浴缸內有不知哪來的頭髮,1,1,0,0,0,0,3,3,0,0,0,0,3
，房間煙味人很重，隔天仍有淡淡煙味。退房時反映問題,1,1,0,0,0,0,3,3,0,0,0,0,3
剛進房時，房間煙味很重，希望飯店可以落實禁煙。,1,1,0,0,0,0,3,3,0,0,0,0,3
房間悶熱潮濕,1,1,0,0,0,0,3,3,0,0,0,0,3
地毯霉味很重,1,1,0,0,0,0,3,3,0,0,0,0,3
旅館整館都有很難聞的芳香劑味，且地毯、浴室地板都有頭髮，清潔度很不夠。,1,1,0,0,0,0,3,3,0,0,0,0,3
濃厚煙味混雜可怕香精味客房比大廳老舊許多地毯髒污嚴重,1,1,0,0,0,0,3,3,0,0,0,0,3
房間空調一直飄出淡淡的煙味，感覺很不舒服,1,1,0,0,0,0,3,3,0,0,0,0,3
整層分房有莫名的味道，離開後衣服仍舊有殘留味,1,1,0,0,0,0,3,3,0,0,0,0,3
從一進大廳開始，到房間地毯，空調等有著奇怪的味道，導致我所有衣服包含行李內的都吸收了噁心氣味；整體客房清潔算差，地毯、窗簾、甚至電梯牆壁上都有髒汙；員工需要在這種環境下工作和服務客人真是辛苦。,1,1,0,0,0,0,3,3,0,0,0,0,3
明明是禁煙客房，但是房間內的三手煙味還是濃到嚇人，而且沒有放任何的消臭劑or消臭噴霧，根本沒辦法阻止這三手煙的味道。行李一打開，就連放在行李裡面的乾淨衣物，也全都沾上了三手煙的味道，之後的幾天穿著這個衣服明明是乾淨的衣服但沾上了煙味在身上，真是難受極了。,1,1,0,0,0,0,3,3,0,0,0,0,3
一進大門霉味撲鼻而來，電梯很小，房間浴室水排不掉，整間都是霉味，灰塵，。不會推薦朋友不會再來了,1,1,0,0,0,0,3,3,0,0,0,0,3
這次總共訂了三間房，其中兩間一進房時明顯聞到煙味，還蠻重的，個人覺得美中不足，只希望有抽煙的房客能別在室內抽煙，造成其他人的不適。,1,1,0,0,0,0,3,3,0,0,0,0,3
房間菸味很重,1,1,0,0,0,0,3,3,0,0,0,0,3
一進大廳就有濃濃的霉味，房間空調也都是霉味，衣服回家後都臭臭的,1,1,0,0,0,0,3,3,0,0,0,0,3
第一日房間一進去就有煙味,1,1,0,0,0,0,3,3,0,0,0,0,3
一進房有個領口的汗味,1,1,0,0,0,0,3,3,0,0,0,0,3
整間飯店都是吸煙的味道,1,1,0,0,0,0,3,3,0,0,0,0,3
可惜隔日上午房間廁所有煙味，希望能改善,1,1,0,0,0,0,3,3,0,0,0,0,3
大廳及走廊香精味太重讓我過敏,1,1,0,0,0,0,3,3,0,0,0,0,3
親子家庭房內的小帳篷內有之前寶寶留下的食物屑屑，一看就知道沒清潔，所以也沒有讓寶寶玩了房內芳香劑噴太多了，而且一點也不香，聞到頭很暈。然後隔天回家以後，衣服全部有芳香劑味道的殘留 ,1,1,0,0,0,0,3,3,0,0,0,0,3
進大廳就有濃濃的霉味,1,1,0,0,0,0,3,3,0,0,0,0,3
房內有煙味，雖然不是飯店的問題，但有受到點影響。空氣清淨機如果更強力會更好。住客品質比較影響住房評價。,1,1,0,0,0,0,3,3,0,0,0,0,3
空調霉味太重平常鼻子不會過敏進到房下子鼻子就塞住了下次入住需要攜帶空氣濾淨器呵,1,1,0,0,0,0,3,3,0,0,0,0,3
房間還是會聞到煙味,1,1,0,0,0,0,3,3,0,0,0,0,3
親子房非常潮濕，除濕機根本不能斷，否則潮濕的味道會很濃郁,1,1,0,0,0,0,3,3,0,0,0,0,3
 房間有煙味。,1,1,0,0,0,0,3,3,0,0,0,0,3
房間有很重的霉味 空氣品質很差 很悶,1,1,0,0,0,0,3,3,0,0,0,0,3
整潔度不足：床單髒、房間有異味、浴室清潔度待加強,1,1,0,0,0,0,3,3,0,0,0,0,3
床單的味道不好聞,1,1,0,0,0,0,3,3,0,0,0,0,3
第一次進入房間沒有聞到異味，，如果能處理會更好,1,1,0,0,0,0,3,3,0,0,0,0,3
地板上有毛髮、棉絮，床頭櫃上有飲料漬，疫情期間看到這些會很擔心房間清潔品質。不知道房間設施是否有在消毒。,1,1,0,0,0,0,3,3,0,0,0,0,3
浴室裏，未使用前，多處有頭髮。,1,1,0,0,0,0,3,3,0,0,0,0,3
